procuringEntity_name,monto_total,num_procesos
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON FLAVIO ALFARO,3448607.3400000003,19
Hospital Gíneco Obstétrico Isidro Ayora,3442982.3200000003,199
GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PEDRO MONCAYO,3435410.9699999997,450
UNIVERSIDAD DE LAS ARTES,3373389.81,188
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON PUERTO QUITO,3362777.61,325
DIRECCION DISTRITAL 09D24 - DURAN - SALUD,3345713.6,19
UNIVERSIDAD ESTATAL DE BOLIVAR,3307880.02,124
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL TARACOA,3294151.71,53
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAN PEDRO DE PELILEO,3275275.77,65
HOSPITAL GENERAL LEON BECERRA,3269015.07,22
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL  SAN SEBASTIAN DEL COCA,3261207.81,61
Universidad Técnica del Norte,3238627.29,136
HOSPITAL UNIVERSITARIO DE GUAYAQUIL,3237614.77,18
